#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,atkmm," added 8/5/23"
,spirv-tools," added 8/5/23"
,sqlite," added 8/5/23"
,sratom," added 8/5/23"
,srt," added 8/5/23"
,startup-notification," added 8/5/23"
,stfl," added 8/5/23"
,svt-av1," added 8/5/23"
,sysfsutils," added 8/5/23"
,systemd," added 8/5/23"
,systemd-libs," added 8/5/23"
,systemd-sysvcompat," added 8/5/23"
,t1lib," added 8/5/23"
,taglib," added 8/5/23"
,talloc," added 8/5/23"
,task-spooler," added 8/5/23"
,tcl," added 8/5/23"
,testdisk," added 8/5/23"
,thermald," added 8/5/23"
,thin-provisioning-tools," added 8/5/23"
,tinycompress," added 8/5/23"
,tinyxml2," added 8/5/23"
,tk," added 8/5/23"
,tpm2-tss," added 8/5/23"
,tracker3," added 8/5/23"
,transmission-cli," added 8/5/23"
,tree," added 8/5/23"
,tree-sitter," added 8/5/23"
,tremc," added 8/5/23"
,tslib," added 8/5/23"
,ttf-linux-libertine," added 8/5/23"
,tumbler," added 8/5/23"
,uchardet," added 8/5/23"
,udisks2," added 8/5/23"
,ueberzug," added 8/5/23"
,ufw," added 8/5/23"
,unclutter," added 8/5/23"
,unibilium," added 8/5/23"
,unrar," added 8/5/23"
,unzip," added 8/5/23"
,upower," added 8/5/23"
,usbmuxd," added 8/5/23"
,usbutils," added 8/5/23"
,util-linux," added 8/5/23"
,util-linux-libs," added 8/5/23"
,v4l-utils," added 8/5/23"
,vid.stab," added 8/5/23"
,viewnior," added 8/5/23"
,vim-runtime," added 8/5/23"
,vmaf," added 8/5/23"
,volume_key," added 8/5/23"
,vulkan-headers," added 8/5/23"
,vulkan-icd-loader," added 8/5/23"
,vulkan-intel," added 8/5/23"
,wayland," added 8/5/23"
,webrtc-audio-processing," added 8/5/23"
,woff2," added 8/5/23"
,wpa_supplicant," added 8/5/23"
,x264," added 8/5/23"
,x265," added 8/5/23"
,xapian-core," added 8/5/23"
,xcape," added 8/5/23"
,xcb-imdkit," added 8/5/23"
,xcb-proto," added 8/5/23"
,xcb-util," added 8/5/23"
,xcb-util-cursor," added 8/5/23"
,xcb-util-image," added 8/5/23"
,xcb-util-keysyms," added 8/5/23"
,xcb-util-renderutil," added 8/5/23"
,xcb-util-wm," added 8/5/23"
,xcb-util-xrm," added 8/5/23"
,xclip," added 8/5/23"
,xcompmgr," added 8/5/23"
,xdg-utils," added 8/5/23"
,xdotool," added 8/5/23"
,xf86-input-libinput," added 8/5/23"
,xf86-input-synaptics," added 8/5/23"
,xfconf," added 8/5/23"
,xfsprogs," added 8/5/23"
,xkeyboard-config," added 8/5/23"
,xmlsec," added 8/5/23"
,xorg-fonts-encodings," added 8/5/23"
,xorg-server-common," added 8/5/23"
,xorg-setxkbmap," added 8/5/23"
,xorg-util-macros," added 8/5/23"
,xorg-xauth," added 8/5/23"
,xorg-xbacklight," added 8/5/23"
,xorg-xdpyinfo," added 8/5/23"
,xorg-xev," added 8/5/23"
,xorg-xinput," added 8/5/23"
,xorg-xkbcomp," added 8/5/23"
,xorg-xmodmap," added 8/5/23"
,xorg-xrandr," added 8/5/23"
,xorg-xrdb," added 8/5/23"
,xorg-xset," added 8/5/23"
,xorgproto," added 8/5/23"
,xvidcore," added 8/5/23"
,xwallpaper," added 8/5/23"
,xxhash," added 8/5/23"
,xz," added 8/5/23"
,yaml-cpp," added 8/5/23"
,yarn," added 8/5/23"
,yay," added 8/5/23"
,youtube-dl," added 8/5/23"
,zeromq," added 8/5/23"
,zimg," added 8/5/23"
,zip," added 8/5/23"
,zlib," added 8/5/23"
,zoom," added 8/5/23"
,zsh," added 8/5/23"
,zstd," added 8/5/23"
,zxing-cpp," added 8/5/23"
,zziplib," added 8/5/23"
